tipo;referencia;estado;carpeta_actual;carpeta_destino;accion
LOTE;LOTE-2025-001;REQUERIMIENTO VERIFICADOR;10. REQUERIMIENTO;10. REQUERIMIENTO;YA OK
EXP-LOTE;25RES060_57;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-001;carpeta del lote LOTE-2025-001;YA OK
EXP-LOTE;25RES060_63;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-001;carpeta del lote LOTE-2025-001;YA OK
EXP-LOTE;25RES060_66;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-001;carpeta del lote LOTE-2025-001;YA OK
EXP-LOTE;25RES060_61;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-001;carpeta del lote LOTE-2025-001;YA OK
EXP-LOTE;25RES060_73;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-001;carpeta del lote LOTE-2025-001;YA OK
LOTE;PAQUETE 1 - 2025 (PRE APP);PTE. PAGO BROKERGY A CLIENTE;09.PENDIENTE DE PAGO A CLIENTE;09.PENDIENTE DE PAGO A CLIENTE;YA OK
EXP-LOTE;25RES060_36;PTE. PAGO BROKERGY A CLIENTE;carpeta del lote PAQUETE 1 - 2025 (PRE APP);carpeta del lote PAQUETE 1 - 2025 (PRE APP);YA OK
EXP-LOTE;25RES060_47;PTE. PAGO BROKERGY A CLIENTE;carpeta del lote PAQUETE 1 - 2025 (PRE APP);carpeta del lote PAQUETE 1 - 2025 (PRE APP);YA OK
EXP-LOTE;25RES060_39;PTE. PAGO BROKERGY A CLIENTE;carpeta del lote PAQUETE 1 - 2025 (PRE APP);carpeta del lote PAQUETE 1 - 2025 (PRE APP);YA OK
EXP-LOTE;25RES060_54;PTE. PAGO BROKERGY A CLIENTE;carpeta del lote PAQUETE 1 - 2025 (PRE APP);carpeta del lote PAQUETE 1 - 2025 (PRE APP);YA OK
EXP-LOTE;25RES060_41;PTE. PAGO BROKERGY A CLIENTE;carpeta del lote PAQUETE 1 - 2025 (PRE APP);carpeta del lote PAQUETE 1 - 2025 (PRE APP);YA OK
LOTE;LOTE-2025-002;REQUERIMIENTO VERIFICADOR;10. REQUERIMIENTO;10. REQUERIMIENTO;YA OK
EXP-LOTE;26RES060_89;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-002;carpeta del lote LOTE-2025-002;YA OK
EXP-LOTE;25RES060_70;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-002;carpeta del lote LOTE-2025-002;YA OK
EXP-LOTE;25RES060_69;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-002;carpeta del lote LOTE-2025-002;YA OK
EXP-LOTE;25RES060_83;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-002;carpeta del lote LOTE-2025-002;YA OK
EXP-LOTE;25RES060_65;REQUERIMIENTO VERIFICADOR;carpeta del lote LOTE-2025-002;carpeta del lote LOTE-2025-002;YA OK
EXPEDIENTE;24RES060_1;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_10;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_11;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_12;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_13;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_14;PENDIENTE REVISAR EXPTE;04. EN CURSO;04. EN CURSO;YA OK
EXPEDIENTE;24RES060_15;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_17;PENDIENTE REVISAR EXPTE;04. EN CURSO;04. EN CURSO;YA OK
EXPEDIENTE;24RES060_19;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_2;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_20;PENDIENTE REVISAR EXPTE;04. EN CURSO;04. EN CURSO;YA OK
EXPEDIENTE;24RES060_21;PENDIENTE REVISAR EXPTE;04. EN CURSO;04. EN CURSO;YA OK
EXPEDIENTE;24RES060_3;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_4;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_5;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_6;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_7;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES060_8;PENDIENTE REVISAR EXPTE;04. EN CURSO;04. EN CURSO;YA OK
EXPEDIENTE;24RES060_9;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;24RES080_10;PENDIENTE REVISAR EXPTE;04. EN CURSO;04. EN CURSO;YA OK
EXPEDIENTE;25RES060_22;PTE. PAGO BROKERGY A CLIENTE;09.PENDIENTE DE PAGO A CLIENTE;09.PENDIENTE DE PAGO A CLIENTE;YA OK
EXPEDIENTE;25RES060_23;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_24;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_25;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_26;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_27;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_28;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_29;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_30;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_31;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_32;ENVIADO A VERIFICADOR;07. ENVIADOS A VERIFICAR;07. ENVIADOS A VERIFICAR;YA OK
EXPEDIENTE;25RES060_33;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_34;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_35;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_37;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_38;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_40;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_42;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_43;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_44;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_45;PENDIENTE REVISAR EXPTE;;;SIN CARPETA
EXPEDIENTE;25RES060_46;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_48;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_49;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_50;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_51;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_52;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_53;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_55;FINALIZADO;11. FINALIZADOS;11. FINALIZADOS;YA OK
EXPEDIENTE;25RES060_56;FINALIZADO;11. FINALIZADOS;11. FINALIZADOS;YA OK
EXPEDIENTE;25RES060_58;FINALIZADO;;;SIN CARPETA
EXPEDIENTE;25RES060_59;DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;YA OK
EXPEDIENTE;25RES060_60;FINALIZADO;11. FINALIZADOS;11. FINALIZADOS;YA OK
EXPEDIENTE;25RES060_62;FINALIZADO;11. FINALIZADOS;11. FINALIZADOS;YA OK
EXPEDIENTE;25RES060_64;ENVIADO A VERIFICADOR;;;SIN CARPETA
EXPEDIENTE;25RES060_67;DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;YA OK
EXPEDIENTE;25RES060_68;DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;YA OK
EXPEDIENTE;25RES060_71;DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;YA OK
EXPEDIENTE;25RES060_72;DOC. COMPLETA;05. DOC. COMPLETA;05. DOC. COMPLETA;YA OK
EXPEDIENTE;25RES060_74;DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;YA OK
EXPEDIENTE;25RES060_75;DOC. COMPLETA;05. DOC. COMPLETA;05. DOC. COMPLETA;YA OK
EXPEDIENTE;25RES060_76;DOC. COMPLETA;05. DOC. COMPLETA;05. DOC. COMPLETA;YA OK
EXPEDIENTE;25RES060_77;DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;13. DOC. COMPLETA APPSHEET;YA OK
